Window_Scheme,Window_Type,Window_Size,Train_Start_Index,Train_End_Index,Train_Periods,Train_Range_Label,Test_Index,Test_Period,Feature_Scheme,Predictors,N_Predictors,Train_N,Train_Pos,Train_Neg,Test_N,Test_Pos,Test_Neg,Model,Tune_CV_AUC,Train_AUC,Test_AUC,Error,Has_Test_AUC,Run_Status,Feature_Display,Model_Group,Model_Display
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,2_HA_dN_Only,HA,1,636,82,554,24,9,15,DNN,0.7532325851476489,0.6893435766487629,0.8888888888888888,NA,TRUE,OK,"HA dN
only",ML/DL,Deep Neural Network (DNN)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,Logistic,NA,0.7439244518798979,0.6962962962962963,NA,TRUE,OK,All dN,ML/DL,Logistic Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,Ridge,0.6288570633124202,0.6727568900237739,0.725925925925926,NA,TRUE,OK,All dN,ML/DL,Ridge Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,Lasso,0.6328218144402074,0.722043673505327,0.7703703703703704,NA,TRUE,OK,All dN,ML/DL,Lasso Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,SVM_Radial,0.770425445110581,0.8260103900677996,0.5777777777777777,NA,TRUE,OK,All dN,ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,RandomForest,0.6767213729831811,1,0.7037037037037037,NA,TRUE,OK,All dN,ML/DL,Random Forest (RFC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,XGBoost,0.7324466311960321,0.9347098705644096,0.6370370370370371,NA,TRUE,OK,All dN,ML/DL,XGBoost Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,636,82,554,24,9,15,DNN,0.7210166553944592,0.7882143171612221,0.5925925925925926,NA,TRUE,OK,All dN,ML/DL,Deep Neural Network (DNN)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,Logistic,NA,0.8093026327375187,0.7703703703703704,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Logistic Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,Ridge,0.6321434852872203,0.6612001408822753,0.7481481481481481,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Ridge Classifier
