"Feature_Scheme","Model","Predictors","N_Predictors","N_Splits","Test_Periods","Mean_Train_AUC","Median_Train_AUC","Min_Train_AUC","SD_Train_AUC","Mean_Test_AUC","Median_Test_AUC","Min_Test_AUC","SD_Test_AUC","Mean_Train_minus_Test_AUC","Median_Train_minus_Test_AUC","Mean_Tune_CV_AUC"
"3_All_dN_PB2_to_NS","SVM_Radial","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",0.82211281151796,0.822409956938662,0.809354440789474,0.0105962838042672,0.71260509506833,0.697979797979798,0.5525,0.173986655108552,0.10950771644963,0.119702617448839,0.740230764355454
"4_All_dN_All_dS_PB2_to_NS","Logistic","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.818570702428579,0.813437030654474,0.805509868421053,0.0163471191864095,0.697308130322836,0.682570806100218,0.515,0.176955836474413,0.121262572105743,0.130866224554256,NA
"4_All_dN_All_dS_PB2_to_NS","SVM_Radial","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.916283275463417,0.930659522584124,0.810814144736842,0.0866959349004311,0.690204619726679,0.639886363636364,0.533333333333333,0.192575070827139,0.226078655736738,0.205537374173324,0.726713887166792
"3_All_dN_PB2_to_NS","DNN","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",0.822776303284978,0.830701204568292,0.788214317161222,0.0236195282633847,0.687945385224797,0.668845315904139,0.505,0.177701001330914,0.134830918060181,0.139964223628853,0.762665623409935
"4_All_dN_All_dS_PB2_to_NS","XGBoost","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,4,"HK19,Cam20,Dar21,TH22",0.912328727538809,0.914871798637218,0.821618508443007,0.0782113044231161,0.687188552188552,0.696969696969697,0.54,0.115442369005581,0.225140175350256,0.232378249032992,0.731233970386454
"3_All_dN_PB2_to_NS","XGBoost","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",0.952790751994912,0.9520930305203,0.92163566404431,0.0296394933474837,0.668482929788077,0.636700336700337,0.53125,0.142797354753427,0.284307822206835,0.323325240029237,0.75571573709746
"2_HA_dN_Only","XGBoost","HA",1,4,"HK19,Cam20,Dar21,TH22",0.830245739807597,0.854955156831259,0.703894074139297,0.0877945659934046,0.666130978906714,0.627716503267974,0.5,0.172824906483529,0.164114760900882,0.212252728440381,0.706427146552768
"3_All_dN_PB2_to_NS","Lasso","PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,4,"HK19,Cam20,Dar21,TH22",0.761527738992955,0.764244263001253,0.722043673505327,0.030929728257123,0.655592444048326,0.637685185185185,0.437908496732026,0.221735449934818,0.105935294944628,0.121126029799471,0.752968719265631
"1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","Lasso","HA,PB1,PB2,NA_seg,HA_x_PB1",5,4,"HK19,Cam20,Dar21,TH22",0.763107347455389,0.765193295739348,0.723694637668398,0.0328560907955435,0.647336725094078,0.608101851851852,0.464052287581699,0.202868279585342,0.115770622361311,0.152919547319577,0.775886706895835
"2_HA_dN_Only","RandomForest","HA",1,4,"HK19,Cam20,Dar21,TH22",0.98850062849279,0.988005325814536,0.986594170995862,0.00208021783530687,0.555844474153298,0.495098039215686,0.415,0.183639029995636,0.432656154339492,0.491960951044149,0.636147008351135
