"Window_Scheme","Window_Type","Window_Size","Train_Start_Index","Train_End_Index","Train_Periods","Train_Range_Label","Test_Index","Test_Period","Feature_Scheme","Predictors","N_Predictors","Train_N","Train_Pos","Train_Neg","Test_N","Test_Pos","Test_Neg","Model","Tune_CV_AUC","Train_AUC","Test_AUC","Error","Has_Test_AUC","Run_Status","Regression_Selected_Train_AUC_FixedOnly","Regression_Selected_Test_AUC_FixedOnly","Delta_Test_AUC_vs_Selected_Regression","Delta_Train_AUC_vs_Selected_Regression"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"Logistic",NA,0.722616007748525,0.703703703703704,NA,TRUE,"OK",0.699084265210883,0.807407407407407,-0.103703703703703,0.0235317425376422
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"Ridge",0.718956185099841,0.720414722197763,0.681481481481481,NA,TRUE,"OK",0.699084265210883,0.807407407407407,-0.125925925925926,0.0213304569868805
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"Lasso",0.718601450432875,0.723694637668398,0.703703703703704,NA,TRUE,"OK",0.699084265210883,0.807407407407407,-0.103703703703703,0.0246103724575154
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"SVM_Radial",0.735272209647197,0.863102051598133,0.807407407407407,NA,TRUE,"OK",0.699084265210883,0.807407407407407,3.33066907387547e-16,0.16401778638725
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"RandomForest",0.720358495137657,1,0.837037037037037,NA,TRUE,"OK",0.699084265210883,0.807407407407407,0.02962962962963,0.300915734789117
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"XGBoost",0.743896467890636,0.891564673769481,0.855555555555556,NA,TRUE,"OK",0.699084265210883,0.807407407407407,0.0481481481481485,0.192480408558598
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,636,82,554,24,9,15,"DNN",0.697794619531847,0.814717795192392,0.755555555555556,NA,TRUE,"OK",0.699084265210883,0.807407407407407,-0.0518518518518515,0.115633529981509
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","2_HA_dN_Only","HA",1,636,82,554,24,9,15,"Logistic",NA,0.689343576648763,0.888888888888889,NA,TRUE,"OK",0.699084265210883,0.807407407407407,0.0814814814814818,-0.00974068856212007
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","2_HA_dN_Only","HA",1,636,82,554,24,9,15,"Ridge",NA,0.689343576648763,0.888888888888889,NA,TRUE,"OK",0.699084265210883,0.807407407407407,0.0814814814814818,-0.00974068856212007
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","2_HA_dN_Only","HA",1,636,82,554,24,9,15,"Lasso",NA,0.689343576648763,0.888888888888889,NA,TRUE,"OK",0.699084265210883,0.807407407407407,0.0814814814814818,-0.00974068856212007
