"Term","N_Splits","Mean_Beta","SD_Beta","Median_Beta","Mean_OR","Median_OR","OR_Low_Approx","OR_High_Approx","Mean_SE","Term_Label"
"HA",30,1.37242102695146,0.324181827895148,1.36586462242073,3.94488982815695,3.91911013800107,2.85262379063809,5.45538314844356,0.221109532784035,"HA dN"
"HA:PB1",30,-0.289318044377284,0.132090777371972,-0.272998606870023,0.748774024160334,0.761093847930851,0.656121809705197,0.854509834856995,0.167419827714707,"HA dN × PB1 dN"
"NA_seg",30,0.307076670226127,0.132963287187491,0.323135452232615,1.35944519304681,1.38145245905307,1.19019050558636,1.55276926191543,0.197422688643657,"NA dN"
"PB1",30,0.0851062389024964,0.180747420244146,0.135919925161241,1.08883273694893,1.14559015697491,0.908790048397855,1.30454413661522,0.173903947761482,"PB1 dN"
"PB2",30,0.243214781605774,0.0968129860327443,0.248541079157743,1.27534251481731,1.28215349107302,1.15766123777749,1.40498660318207,0.159592608763929,"PB2 dN"
