"Window_Scheme","Window_Type","Window_Size","Train_Start_Index","Train_End_Index","Train_Periods","Train_Range_Label","Test_Index","Test_Period","Model_Name","Formula","AUC","AIC","N_Fixed_Terms","Error","Class","AUC_ha_dN_only","AUC_control1_all_dN","AUC_control2_all_dN_all_dS","Delta_vs_HA_dN_Only","Delta_vs_Control1_All_dN","Delta_vs_Control2_All_dN_All_dS","Row_Selection_Score","Control2_dS_warning","Selected_Representative_Model","Comparison_Group"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.762962962962963,554.468783745941,8,NA,"control1_all_dN",0.888888888888889,0.762962962962963,0.77037037037037,-0.125925925925926,0,-0.00740740740740742,0.722962962962963,TRUE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,3,10,"Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Cal04-Kan17 -> HK19",11,"HK19","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.77037037037037,525.987978449149,16,NA,"control2_all_dN_all_dS",0.888888888888889,0.762962962962963,0.77037037037037,-0.118518518518518,0.00740740740740742,0,0.69037037037037,TRUE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.895424836601307,585.816336956398,3,NA,"representative_dN_candidate",0.464052287581699,0.705882352941176,0.431372549019608,0.431372549019608,0.189542483660131,0.464052287581699,0.880424836601307,FALSE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.464052287581699,588.365573179718,1,NA,"ha_dN_only",0.464052287581699,0.705882352941176,0.431372549019608,0,-0.241830065359477,0.0326797385620914,0.459052287581699,FALSE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.705882352941176,575.858862414077,8,NA,"control1_all_dN",0.464052287581699,0.705882352941176,0.431372549019608,0.241830065359477,0,0.274509803921569,0.665882352941176,FALSE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,4,11,"Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Wis05-HK19 -> Cam20",12,"Cam20","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.431372549019608,550.282816341105,16,NA,"control2_all_dN_all_dS",0.464052287581699,0.705882352941176,0.431372549019608,-0.0326797385620914,-0.274509803921569,0,0.351372549019608,FALSE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,5,12,"Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Bris07-Cam20 -> Dar21",13,"Dar21","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.6175,594.829216878068,3,NA,"representative_dN_candidate",0.60375,0.53,0.6325,0.01375,0.0875,-0.0149999999999999,0.6025,FALSE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,5,12,"Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Bris07-Cam20 -> Dar21",13,"Dar21","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.60375,602.511434001753,1,NA,"ha_dN_only",0.60375,0.53,0.6325,0,0.07375,-0.0287499999999999,0.59875,FALSE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,5,12,"Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Bris07-Cam20 -> Dar21",13,"Dar21","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.53,579.716290775524,8,NA,"control1_all_dN",0.60375,0.53,0.6325,-0.07375,0,-0.1025,0.49,FALSE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,5,12,"Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20","Bris07-Cam20 -> Dar21",13,"Dar21","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.6325,551.00677074477,16,NA,"control2_all_dN_all_dS",0.60375,0.53,0.6325,0.0287499999999999,0.1025,0,0.5525,FALSE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
"rolling_width_8","rolling",8,6,13,"Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21","Prth09-Dar21 -> TH22",14,"TH22","Representative_dN_HA_PB2_M","dom_binary ~ HA + PB2 + M + (1 | vaccine_code)",0.909090909090909,605.870384585278,3,NA,"representative_dN_candidate",0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0.894090909090909,TRUE,"Representative_dN_HA_PB2_M","1_Selected_representative_dN_subset"
"rolling_width_8","rolling",8,6,13,"Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21","Prth09-Dar21 -> TH22",14,"TH22","HA_dN_Only","dom_binary ~ HA + (1 | vaccine_code)",0.909090909090909,609.189436725823,1,NA,"ha_dN_only",0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0.904090909090909,TRUE,"Representative_dN_HA_PB2_M","2_HA_dN_only"
"rolling_width_8","rolling",8,6,13,"Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21","Prth09-Dar21 -> TH22",14,"TH22","Control1_All_dN_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + (1 | vaccine_code)",0.909090909090909,596.929823584798,8,NA,"control1_all_dN",0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0.869090909090909,TRUE,"Representative_dN_HA_PB2_M","3_Control1_all_dN"
"rolling_width_8","rolling",8,6,13,"Prth09,Vic11,Swtz13,HK15,Kan17,HK19,Cam20,Dar21","Prth09-Dar21 -> TH22",14,"TH22","Control2_All_dN_All_dS_PB2_to_NS","dom_binary ~ PB2 + PB1 + PA + HA + NP + NA_seg + M + NS + PB2_syn + PB1_syn + PA_syn + HA_syn + NP_syn + NA_syn + M_syn + NS_syn + (1 | vaccine_code)",0.909090909090909,583.804636943161,16,NA,"control2_all_dN_all_dS",0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0.829090909090909,TRUE,"Representative_dN_HA_PB2_M","4_Control2_all_dN_all_dS"
